"desktop_folder","staged_folder","exists","source_file_count","staged_file_count"
"C:\Users\robmc\Desktop\3d model 3","C:\Users\robmc\Kira\Data\world_builder\staged_assets_for_world_builder\desktop_3d_model_3","True","22","22"
"C:\Users\robmc\Desktop\3d model 4","C:\Users\robmc\Kira\Data\world_builder\staged_assets_for_world_builder\desktop_3d_model_4","True","34","34"
"C:\Users\robmc\Desktop\3d model 5","C:\Users\robmc\Kira\Data\world_builder\staged_assets_for_world_builder\desktop_3d_model_5","True","51","51"
"C:\Users\robmc\Desktop\a bunch more","C:\Users\robmc\Kira\Data\world_builder\staged_assets_for_world_builder\desktop_a_bunch_more","True","91","91"
"C:\Users\robmc\Desktop\beds models","C:\Users\robmc\Kira\Data\world_builder\staged_assets_for_world_builder\desktop_beds_models","True","46","46"
"C:\Users\robmc\Desktop\3d models","C:\Users\robmc\Kira\Data\world_builder\staged_assets_for_world_builder\desktop_3d_models","True","152","152"
"C:\Users\robmc\Desktop\3d models\3D Models Kira World","C:\Users\robmc\Kira\Data\world_builder\staged_assets_for_world_builder\desktop_3d_models_kira_world","True","60","60"
"C:\Users\robmc\Desktop\3d models\more 3d models","C:\Users\robmc\Kira\Data\world_builder\staged_assets_for_world_builder\desktop_more_3d_models","True","25","25"
"C:\Users\robmc\Desktop\3d models\some more 3d","C:\Users\robmc\Kira\Data\world_builder\staged_assets_for_world_builder\desktop_some_more_3d","True","40","40"
"C:\Users\robmc\Desktop\3d models 2","C:\Users\robmc\Kira\Data\world_builder\staged_assets_for_world_builder\desktop_3d_models_2","True","93","93"
"C:\Users\robmc\Desktop\enterprise d","C:\Users\robmc\Kira\Data\world_builder\staged_assets_for_world_builder\desktop_enterprise_d","True","4","4"
"C:\Users\robmc\Desktop\Ladybug","C:\Users\robmc\Kira\Data\world_builder\staged_assets_for_world_builder\desktop_Ladybug","True","34","34"
"C:\Users\robmc\Desktop\Marinette's Bedroom","C:\Users\robmc\Kira\Data\world_builder\staged_assets_for_world_builder\desktop_Marinette_Bedroom","True","203","203"
"C:\Users\robmc\Desktop\no way home","C:\Users\robmc\Kira\Data\world_builder\staged_assets_for_world_builder\desktop_no_way_home","True","5","5"
"C:\Users\robmc\Desktop\real acting","C:\Users\robmc\Kira\Data\world_builder\staged_assets_for_world_builder\desktop_real_acting","True","37","37"
"C:\Users\robmc\Desktop\robert avatar base","C:\Users\robmc\Kira\Data\world_builder\staged_assets_for_world_builder\desktop_robert_avatar_base","True","15","15"
"C:\Users\robmc\Desktop\school","C:\Users\robmc\Kira\Data\world_builder\staged_assets_for_world_builder\desktop_school","True","26","26"
"C:\Users\robmc\Desktop\Spider-Gwen","C:\Users\robmc\Kira\Data\world_builder\staged_assets_for_world_builder\desktop_Spider_Gwen","False","0","0"
"C:\Users\robmc\Desktop\voyager details","C:\Users\robmc\Kira\Data\world_builder\staged_assets_for_world_builder\desktop_voyager_details","True","23","23"
