path	expected_bytes	expected_sha256	observed_bytes	observed_sha256	before_status	after_status
Voice/sidecars/chatterbox_blackwell_persistent_candidate_v16/candidate_config.json	1778	f2fcadac5a3a98f174b7fb016f9e75c69ad59030f83dfd7538ca516d3ea2e37d	1778	f2fcadac5a3a98f174b7fb016f9e75c69ad59030f83dfd7538ca516d3ea2e37d	EXACT	EXACT
Voice/sidecars/chatterbox_blackwell_persistent_candidate_v16/native_control_contract.json	4031	300c743a00007d648a92b1c01324ffd1261fd3d06529e97f51d178d5fbb68347	4031	300c743a00007d648a92b1c01324ffd1261fd3d06529e97f51d178d5fbb68347	EXACT	EXACT
Voice/sidecars/chatterbox_blackwell_persistent_candidate_v16/README.md	1282	048c5d0de6edae033c716a5cdfae0c5bb8e90f749c3b0c06e4cc1e70e386d3e3	1282	048c5d0de6edae033c716a5cdfae0c5bb8e90f749c3b0c06e4cc1e70e386d3e3	EXACT	EXACT
tools/native/kira_blackwell_voice_control_anchor_v16.c	76837	080b88e35f29062c9212574a60b1a52ade2770547065ef82eea6538568b69a8e	76837	080b88e35f29062c9212574a60b1a52ade2770547065ef82eea6538568b69a8e	EXACT	EXACT
Testing/test_blackwell_persistent_voice_candidate_v16_native_anchor_static.ps1	11940	135d4984447b6121f0ab02f427bb6f656a227c2929bb917b65c125a0b60fff3e	11940	135d4984447b6121f0ab02f427bb6f656a227c2929bb917b65c125a0b60fff3e	EXACT	EXACT
RecoverySprint/continuation_20260811/blackwell_v16_native_exact_manifest_row_control_anchor_static_preparation/attempt_01/RUNTIME_CONTROL_CHECKPOINT.md	1419	80bd5764f3858b858868e12dc78e2cc621199f82054c4fd8d4f6b219f22d8e8d	1419	80bd5764f3858b858868e12dc78e2cc621199f82054c4fd8d4f6b219f22d8e8d	EXACT	EXACT
RecoverySprint/continuation_20260811/blackwell_v16_native_exact_manifest_row_control_anchor_static_preparation/attempt_01/AUTHOR_PACKAGE.json	1863	110ea2702cd1f4e00ee1dc7d180d864ca355631d63b80c18680a24418fadc745	1863	110ea2702cd1f4e00ee1dc7d180d864ca355631d63b80c18680a24418fadc745	EXACT	EXACT
tools/native/kira_blackwell_voice_control_anchor_v16_identity_anchor.h	3896	62fdcc185dc11f1c489edf9a59f0c74ed9687377a0d934f91be3bd0315b0387b	3896	62fdcc185dc11f1c489edf9a59f0c74ed9687377a0d934f91be3bd0315b0387b	EXACT	EXACT
tools/native/kira_blackwell_voice_control_anchor_v16.obj	115406	33203388375639e2fd93af99a69e05e97b25ef5ccb6cecbf6f8e272ce5e486d4	115406	33203388375639e2fd93af99a69e05e97b25ef5ccb6cecbf6f8e272ce5e486d4	EXACT	EXACT
tools/native/kira_blackwell_voice_control_anchor_v16.exe	182784	dc688ea754a9003654f1981f670f20cc3109166326a33233a88a1712a34f80f0	182784	dc688ea754a9003654f1981f670f20cc3109166326a33233a88a1712a34f80f0	EXACT	EXACT
