ordinal	path	bytes	sha256	before_status	after_status
00	tools/native/kira_blackwell_voice_control_anchor_v17.c	83635	850cc18c8084c1cf4a0a8c8353289067bcbe8e7a27cc87fa77287f81b26cd1bc	EXACT	EXACT
01	tools/native/kira_blackwell_voice_control_anchor_v17_identity_anchor.h	6591	8fb7df074a1eb658cdefc7c84aa5d441e8397a6863b79fbeee7901b096b67e94	EXACT	EXACT
02	tools/native/kira_blackwell_voice_control_anchor_v17.exe	157696	52a4376025bdb08902396c033b66d1626c126e56fcb8134bddb79979cb068a4a	EXACT	EXACT
03	Voice/sidecars/chatterbox_blackwell_persistent_candidate_v17/candidate_config.json	1520	9514b85374ea5f74361691845c3fbbe10a394f65a24077f12003ca118703c1e4	EXACT	EXACT
04	Voice/sidecars/chatterbox_blackwell_persistent_candidate_v17/native_control_contract.json	3616	942a1274c16755dbe75e48aae224b3be76fbb96a97d6d3984c982c83e415670f	EXACT	EXACT
05	Voice/sidecars/chatterbox_blackwell_persistent_candidate_v17/README.md	1492	25ab177eb925ee10887135797a6876142195be39b4cfdc5fad5e90c7fc670577	EXACT	EXACT
06	Voice/sidecars/chatterbox_blackwell_persistent_candidate_v16/candidate_config.json	1778	f2fcadac5a3a98f174b7fb016f9e75c69ad59030f83dfd7538ca516d3ea2e37d	EXACT	EXACT
07	Voice/sidecars/chatterbox_blackwell_persistent_candidate_v16/native_control_contract.json	4031	300c743a00007d648a92b1c01324ffd1261fd3d06529e97f51d178d5fbb68347	EXACT	EXACT
08	Voice/sidecars/chatterbox_blackwell_persistent_candidate_v16/README.md	1282	048c5d0de6edae033c716a5cdfae0c5bb8e90f749c3b0c06e4cc1e70e386d3e3	EXACT	EXACT
09	tools/native/kira_blackwell_voice_control_anchor_v16.c	76837	080b88e35f29062c9212574a60b1a52ade2770547065ef82eea6538568b69a8e	EXACT	EXACT
10	Testing/test_blackwell_persistent_voice_candidate_v16_native_anchor_static.ps1	11940	135d4984447b6121f0ab02f427bb6f656a227c2929bb917b65c125a0b60fff3e	EXACT	EXACT
11	RecoverySprint/continuation_20260811/blackwell_v16_native_exact_manifest_row_control_anchor_static_preparation/attempt_01/RUNTIME_CONTROL_CHECKPOINT.md	1419	80bd5764f3858b858868e12dc78e2cc621199f82054c4fd8d4f6b219f22d8e8d	EXACT	EXACT
12	RecoverySprint/continuation_20260811/blackwell_v16_native_exact_manifest_row_control_anchor_static_preparation/attempt_01/AUTHOR_PACKAGE.json	1863	110ea2702cd1f4e00ee1dc7d180d864ca355631d63b80c18680a24418fadc745	EXACT	EXACT
13	tools/native/kira_blackwell_voice_control_anchor_v16_identity_anchor.h	3896	62fdcc185dc11f1c489edf9a59f0c74ed9687377a0d934f91be3bd0315b0387b	EXACT	EXACT
14	tools/native/kira_blackwell_voice_control_anchor_v16.obj	115406	33203388375639e2fd93af99a69e05e97b25ef5ccb6cecbf6f8e272ce5e486d4	EXACT	EXACT
15	tools/native/kira_blackwell_voice_control_anchor_v16.exe	182784	dc688ea754a9003654f1981f670f20cc3109166326a33233a88a1712a34f80f0	EXACT	EXACT
16	RecoverySprint/continuation_20260811/blackwell_v16_native_exact_manifest_row_control_anchor_static_preparation/attempt_01/BUILD_AND_STATIC_TEST_RESULTS.txt	3350	d3207c1cd190f508fc8c78cf0e05e1edce96744da43fcc28b8a28288bdf3b02d	EXACT	EXACT
17	Core/persistent_blackwell_voice_integration_v15.py	44606	adecc01013fefab8a76f6558b6a91cf33ce82f5ed9e8921a45b77abf5d169e7e	EXACT	EXACT
18	tools/native/kira_blackwell_voice_control_anchor_v15_validator.py	21931	2bf232b07b0b7b93de8776f5210bd2d89068ad76cb4ee46555b861ad2818d16a	EXACT	EXACT
19	Voice/sidecars/chatterbox_blackwell_persistent_candidate_v15/candidate_config.json	3725	e282667bcddf46c83d74b2e1ff56b4eed81c88b12a10177b50fca030a1f5faac	EXACT	EXACT
20	Voice/sidecars/chatterbox_blackwell_persistent_candidate_v15/native_control_contract.json	4393	6b5808b14d1c1dbbe23968afb03813ec430ec9e80a1780f454fb6524deafe7f8	EXACT	EXACT
21	Voice/sidecars/chatterbox_blackwell_persistent_candidate_v15/README.md	1303	45140bc00613c269f7207c86eeb4d3c24eda3bf97127cb4774c90dbd64bc5d99	EXACT	EXACT
22	tools/native/kira_blackwell_voice_control_anchor_v15.c	70512	5563fb180e3295f2258ea02c89c4a7c54e8a729da73ea0f0c76ab6d3e557c951	EXACT	EXACT
23	Testing/test_blackwell_persistent_voice_candidate_v15_native_anchor_static.ps1	11373	df8212542c5db05a9337b4c046078eba53b093a721618bd3cb87c8dfd7bd0aa3	EXACT	EXACT
24	RecoverySprint/continuation_20260811/blackwell_v15_native_exact_control_anchor_static_preparation/attempt_01/RUNTIME_CONTROL_CHECKPOINT.md	1234	701efab09fd674a7f39e542fb831945575591b92490caafbd952e24967fecc4b	EXACT	EXACT
25	RecoverySprint/continuation_20260811/blackwell_v15_native_exact_control_anchor_static_preparation/attempt_01/AUTHOR_PACKAGE.json	2748	7d2af69240bb1111a5dfd9e5207e277d697c86f9a5d8dcd91ee835dde5d29ae8	EXACT	EXACT
26	tools/native/kira_blackwell_voice_control_anchor_v15_identity_anchor.h	2388	84d6b215c0b0a5d57ef3fdc167c40d8abdcbdf3622da5b3443bb426f35d5b0c4	EXACT	EXACT
27	tools/native/kira_blackwell_voice_control_anchor_v15.obj	98765	df8e9b21a70aa9cc659c9f4019f5752d06133f803e67d68ab52d4ae507692351	EXACT	EXACT
28	tools/native/kira_blackwell_voice_control_anchor_v15.exe	175104	7d8b807b54df5c980ecca2758e1d4359b3d385e3382839b8fd3101c16ede0a4f	EXACT	EXACT
29	RecoverySprint/continuation_20260811/blackwell_v15_native_exact_control_anchor_static_preparation/attempt_01/BUILD_AND_STATIC_TEST_RESULTS.txt	2629	013df9131f87f87d4af1cd73b2675409048f9655efe0f6b3404256d6c3053774	EXACT	EXACT
30	Core/persistent_blackwell_voice_integration_v14.py	42108	1faeb894bc9ab9e0bd13c06d6af42497c548ee15310ba97c1cc56df902e26d5f	EXACT	EXACT
31	Voice/sidecars/chatterbox_blackwell_persistent_candidate_v14/candidate_config.json	6184	c517afc9953ceae527f88afb0361b1022bcc45d19fc9c577d6e6e58f8ad96695	EXACT	EXACT
32	RecoverySprint/continuation_20260811/blackwell_v14_native_exact_control_anchor_static_preparation/attempt_01/CHECKPOINT.md	4050	e800b28381fa1c2462b0499d3b2e4a03d3e59a0726793c5f74df59394675b3e2	EXACT	EXACT
33	RecoverySprint/continuation_20260811/blackwell_v14_native_exact_control_anchor_static_preparation/attempt_01/STATIC_SEAL_MANIFEST.json	6425	f995cf68ba1b82de0f56acb11c1b1bf73667602beae0a1e685c8eebde13cc4e8	EXACT	EXACT
34	RecoverySprint/continuation_20260811/blackwell_v14_native_exact_control_anchor_fresh_static_audit/attempt_01/AUDIT_DECISION.json	4399	b555938d847955c2fb2844bc1894570ce06ec8b53e3011c9ec9bb9f865c78ecb	EXACT	EXACT
35	RecoverySprint/continuation_20260811/blackwell_v14_native_exact_control_anchor_fresh_static_audit/attempt_01/CHECKPOINT.md	3806	9f15de0358f7563861f034d36fca67fcb14aee0026d90242040807c3b8447fb7	EXACT	EXACT
36	C:/Python314/python314.dll	6767440	a07f7d09c3121492bb066535c6d0811df5fbc2090cbca7031a97bb47ce1480c9	EXACT	EXACT
37	tools/native/runtime/python314_stdlib_v3r4.zip	28997479	7e07541a67b8eba5835c9c371ec90e5732fba6602576ae0a6f22e09b09271846	EXACT	EXACT
38	RecoverySprint/continuation_20260811/blackwell_v15_native_exact_control_anchor_static_preparation/attempt_01/STATIC_SEAL_MANIFEST.json	4557	f3d451041796c2bfbdf5dbe52f3a485b227f67b01af051e9e95c35b40549d932	EXACT	EXACT
39	RecoverySprint/continuation_20260811/blackwell_v15_native_exact_control_anchor_static_preparation/attempt_01/CHECKPOINT.md	2212	0c755424f098136be868234036076400bbb42521dfa9862a45e512c14e9db983	EXACT	EXACT
40	RecoverySprint/continuation_20260811/blackwell_v15_native_exact_control_anchor_fresh_static_audit/attempt_01/INDEPENDENT_AUDIT.tsv	920	38f1ac1902d7547fe161204d7fd61d3aa493e971108133bbbd9a6b61844af128	EXACT	EXACT
41	RecoverySprint/continuation_20260811/blackwell_v15_native_exact_control_anchor_fresh_static_audit/attempt_01/INDEPENDENT_AUDIT.sha256	65	effe3c23d7e2c5b7f65a07fd225ec84b87d01e668728a2f61678a6bc9382ad5f	EXACT	EXACT
42	RecoverySprint/continuation_20260811/blackwell_v15_native_exact_control_anchor_fresh_static_audit/attempt_01/AUDIT_DECISION.json	6899	c525ab16cfad6c6c25f2cbbb8d48a02ec57bdef55832821dc761db731ac80ffe	EXACT	EXACT
43	RecoverySprint/continuation_20260811/blackwell_v15_native_exact_control_anchor_fresh_static_audit/attempt_01/CHECKPOINT.md	5280	5e6a0799da297b962e9bb9dc9973bcc14d8cce252a0f4e9ccf438e13084f2822	EXACT	EXACT
44	RecoverySprint/continuation_20260811/blackwell_v15_native_exact_control_anchor_fresh_static_audit/attempt_01/REVIEW_PROBES.md	9787	082e5fda87136eefd02e5913aca0b89d165eee8da138a1156cf6a49cef5393f8	EXACT	EXACT
45	RecoverySprint/continuation_20260811/blackwell_v15_native_exact_control_anchor_consumed_failure_diagnostic/attempt_01/READ_ONLY_DIAGNOSIS.json	3181	c7d512f1eb1af0cc8c764fd818405b9526eddf0268a50ff2aba43e9364a44463	EXACT	EXACT
46	RecoverySprint/continuation_20260811/blackwell_v15_native_exact_control_anchor_consumed_failure_diagnostic/attempt_01/CHECKPOINT.md	2298	d1a808c3710fbab34e1978c0f9a463189949b6b43c56efa34ded95fb57b0506d	EXACT	EXACT
47	RecoverySprint/continuation_20260811/blackwell_v16_native_exact_manifest_row_control_anchor_static_preparation/attempt_01/STATIC_SEAL_MANIFEST.json	9065	b02ecdace1727a5ab9e8dba9a580932fe886e9ae05561f5241b1fbbffc21acd4	EXACT	EXACT
48	RecoverySprint/continuation_20260811/blackwell_v16_native_exact_manifest_row_control_anchor_fresh_static_audit/attempt_01/AUDIT_DECISION.json	7023	eb8cf761a7821df044a45f81062f7accc7832e2e3b8b993124b4dca63d0fd412	EXACT	EXACT
49	RecoverySprint/continuation_20260811/blackwell_v16_native_exact_manifest_row_control_anchor_fresh_static_audit/attempt_01/CHECKPOINT.md	3463	090c1129aa4abb05be79b3d368ff4da72fcf5be2ee5e7681ffa39d706503ee4b	EXACT	EXACT
50	RecoverySprint/continuation_20260811/blackwell_v16_native_exact_manifest_row_control_anchor_fresh_static_audit/attempt_01/PARSER_PROBE_RESULTS.txt	3613	1a8a57469e770d5bb16f78619a09777741deec7069cfd31d124f525836113d72	EXACT	EXACT
51	RecoverySprint/continuation_20260811/blackwell_v16_native_exact_manifest_row_control_anchor_fresh_static_audit/attempt_01/REVIEW_PROBES.md	7234	517541cb2e47eab433148f00eba23fc02181deae9bc39d46cc2d92b4df38fe94	EXACT	EXACT
52	RecoverySprint/continuation_20260811/blackwell_v16_native_exact_manifest_row_control_anchor_fresh_static_audit/attempt_01/INDEPENDENT_AUDIT.tsv	912	b0be9d89730bf864978fef5e33740e0f34399150f177b47b2841edab7ca94371	EXACT	EXACT
53	RecoverySprint/continuation_20260811/blackwell_v16_native_exact_manifest_row_control_anchor_fresh_static_audit/attempt_01/INDEPENDENT_AUDIT.sha256	65	be75c341c5df0ea0aea545eda21a3278f245559ae429820bfb9b465145a06c90	EXACT	EXACT
54	RecoverySprint/continuation_20260811/blackwell_v16_native_exact_manifest_row_control_anchor_fresh_static_audit/attempt_01/CLOSURE_REHASH.tsv	10360	d6af2190a12efb57a9c794582ada027d9a9dc0fb6116a996c0a4cc07189ddf5f	EXACT	EXACT
