KIRA_BLACKWELL_VOICE_V17_WHOLE_DOCUMENT_CONTROL_AUDIT	1
auditor	codex_voice_v17_independent_reviewer
decision	ACCEPTED_FOR_ONE_BOUNDED_DISCONNECTED_STATIC_CONTROL_VALIDATION_V17_ONLY
seal_bytes	11748
seal_sha256	64fad216711534d8e1e3c014ae616fc651b36f70847c6efc18d55566dc5ab75a
self_bytes	157696
self_sha256	52a4376025bdb08902396c033b66d1626c126e56fcb8134bddb79979cb068a4a
header_bytes	6591
header_sha256	8fb7df074a1eb658cdefc7c84aa5d441e8397a6863b79fbeee7901b096b67e94
sealed_subject_count	55
all_subjects_exact	true
v16_trailing_bytes_refused	true
v16_logical_duplicate_refused	true
actual_55_objects_exact	true
unique_paths_exact	true
ordered_binding_set_equality_exact	true
all_dot_segments_refused	true
v17_provenance_exact	true
compiled_hostile_checks	83
source_predicate_mutants_refused	true
retained_v15_v14_control_graph_exact	true
production_routing_authorized	false
live_execution_authorized	false
synthesis_authorized	false
playback_authorized	false
latency_run_authorized	false
audit_nonce	104bed7df3bf958bd81e4103ca0702536f3cb634a5de996a495f048161ee67ca
