ordinal	path	bytes	sha256	before_match	after_match
01	tools/native/kira_blackwell_voice_control_anchor_v18.c	98883	3cd9147c9b74ef36608a7471e00900ef7defe1fa0191ec194a3233214e9942d0	true	true
02	tools/native/kira_blackwell_voice_control_anchor_v18_identity_anchor.h	10501	0449bfc2553752f053cb871527c0db923e16618271003282228ff5267258e476	true	true
03	tools/native/kira_blackwell_voice_control_anchor_v18.exe	171520	ab2fecce995655f0bdc190e2f23964b7d81ccebd2849866a050d7de686a6e1a3	true	true
04	Voice/sidecars/chatterbox_blackwell_persistent_candidate_v18/candidate_config.json	1456	e6b21e01a72256ce5cf7cf223f2c9fcbe06179ce50e625829adbdfe530936cd6	true	true
05	Voice/sidecars/chatterbox_blackwell_persistent_candidate_v18/native_control_contract.json	4401	ddd595b8f226665457b5b317acc9a231380800c8992b69940a98edee5663ee75	true	true
06	Voice/sidecars/chatterbox_blackwell_persistent_candidate_v18/README.md	1685	fdbaccbe3e77f71028cb2b075b0846a2aa190eb38167a00499b20d4c597f4060	true	true
07	Voice/sidecars/chatterbox_blackwell_persistent_candidate_v16/candidate_config.json	1778	f2fcadac5a3a98f174b7fb016f9e75c69ad59030f83dfd7538ca516d3ea2e37d	true	true
08	Voice/sidecars/chatterbox_blackwell_persistent_candidate_v16/native_control_contract.json	4031	300c743a00007d648a92b1c01324ffd1261fd3d06529e97f51d178d5fbb68347	true	true
09	Voice/sidecars/chatterbox_blackwell_persistent_candidate_v16/README.md	1282	048c5d0de6edae033c716a5cdfae0c5bb8e90f749c3b0c06e4cc1e70e386d3e3	true	true
10	tools/native/kira_blackwell_voice_control_anchor_v16.c	76837	080b88e35f29062c9212574a60b1a52ade2770547065ef82eea6538568b69a8e	true	true
11	Testing/test_blackwell_persistent_voice_candidate_v16_native_anchor_static.ps1	11940	135d4984447b6121f0ab02f427bb6f656a227c2929bb917b65c125a0b60fff3e	true	true
12	RecoverySprint/continuation_20260811/blackwell_v16_native_exact_manifest_row_control_anchor_static_preparation/attempt_01/RUNTIME_CONTROL_CHECKPOINT.md	1419	80bd5764f3858b858868e12dc78e2cc621199f82054c4fd8d4f6b219f22d8e8d	true	true
13	RecoverySprint/continuation_20260811/blackwell_v16_native_exact_manifest_row_control_anchor_static_preparation/attempt_01/AUTHOR_PACKAGE.json	1863	110ea2702cd1f4e00ee1dc7d180d864ca355631d63b80c18680a24418fadc745	true	true
14	tools/native/kira_blackwell_voice_control_anchor_v16_identity_anchor.h	3896	62fdcc185dc11f1c489edf9a59f0c74ed9687377a0d934f91be3bd0315b0387b	true	true
15	tools/native/kira_blackwell_voice_control_anchor_v16.obj	115406	33203388375639e2fd93af99a69e05e97b25ef5ccb6cecbf6f8e272ce5e486d4	true	true
