phase	path	expected_bytes	actual_bytes	expected_sha256	actual_sha256	file_id	reparse_point	match
after	Voice/sidecars/chatterbox_blackwell_persistent_candidate_v19/candidate_config.json	2045	2045	b70c78e36572ee4a9ef5236f941d7c8021ab7916bc1ef4d06c639b1ebfda759a	b70c78e36572ee4a9ef5236f941d7c8021ab7916bc1ef4d06c639b1ebfda759a	0x00000000000000000012000000047667	false	true
after	Voice/sidecars/chatterbox_blackwell_persistent_candidate_v19/native_control_contract.json	8962	8962	0da9a522fb34e644b7e9e67e1ef8c9b0402c2494da7977af29b2c130059187c0	0da9a522fb34e644b7e9e67e1ef8c9b0402c2494da7977af29b2c130059187c0	0x000000000000000000250000000554b3	false	true
after	Voice/sidecars/chatterbox_blackwell_persistent_candidate_v19/README.md	2131	2131	55e56ae942030a92a991b69cb5fe61ea1be86249e3876ae15863b0274a4fd0bd	55e56ae942030a92a991b69cb5fe61ea1be86249e3876ae15863b0274a4fd0bd	0x0000000000000000001a000000057dc5	false	true
after	tools/native/kira_blackwell_voice_control_anchor_v19.c	106649	106649	f0e06bc9242f3585d79788e666c6481c6055b7a974d683c430377940201c1104	f0e06bc9242f3585d79788e666c6481c6055b7a974d683c430377940201c1104	0x0000000000000000003200000011a74c	false	true
after	tools/native/kira_blackwell_voice_control_anchor_v19_identity_anchor.h	13662	13662	6f5a8e10bc4b0c51f9c6458934faf06f34d50a51a515c91877abbfaa0682f903	6f5a8e10bc4b0c51f9c6458934faf06f34d50a51a515c91877abbfaa0682f903	0x0000000000000000000b00000011a7d6	false	true
after	tools/native/kira_blackwell_voice_control_anchor_v19.obj	181247	181247	8092f0be64f6aaefce6365aabb83f3be9fb4987885bd98911ab4c82205418c48	8092f0be64f6aaefce6365aabb83f3be9fb4987885bd98911ab4c82205418c48	0x0000000000000000000700000011a7d7	false	true
after	tools/native/kira_blackwell_voice_control_anchor_v19.exe	177152	177152	b6b7d2c6ee838ec8cb168f9c93301f9f0f1f0861a1d2d145a7ffc021c2243f19	b6b7d2c6ee838ec8cb168f9c93301f9f0f1f0861a1d2d145a7ffc021c2243f19	0x0000000000000000000a00000011a7ed	false	true
after	Testing/test_blackwell_persistent_voice_candidate_v19_native_anchor_static.ps1	19933	19933	6cce23c7f87a8685c573a0fe57ae2e0728844a93955ae6a3afd42e6a3032ff8b	6cce23c7f87a8685c573a0fe57ae2e0728844a93955ae6a3afd42e6a3032ff8b	0x0000000000000000000400000011a7ee	false	true
after	Testing/native/kira_blackwell_voice_control_anchor_v19_type_timing_hostile.c	13912	13912	ce209890eff3c647797a1061806d14d9bbc1504962c0f303df53b8083edc3ed2	ce209890eff3c647797a1061806d14d9bbc1504962c0f303df53b8083edc3ed2	0x0000000000000000000400000011a7ef	false	true
after	Testing/native/kira_blackwell_voice_control_anchor_v19_type_timing_hostile.obj	211268	211268	d8c6080d256c09e153d05b28f60675d7fbe1cb8482d023d2532792cf5b18d30d	d8c6080d256c09e153d05b28f60675d7fbe1cb8482d023d2532792cf5b18d30d	0x0000000000000000000300000011a7f0	false	true
after	Testing/native/kira_blackwell_voice_control_anchor_v19_type_timing_hostile.exe	188416	188416	9f39efc2d156fc61fc0f778199edb72a9868d420faee4dc7e9facdf1fc8711ee	9f39efc2d156fc61fc0f778199edb72a9868d420faee4dc7e9facdf1fc8711ee	0x0000000000000000000300000011a7f1	false	true
after	RecoverySprint/continuation_20260811/blackwell_v19_native_exact_type_and_camera_schema_static_preparation/attempt_01/RUNTIME_CONTROL_CHECKPOINT.md	2172	2172	95e60a8ea4d8eac6b73ee40b0a8db0bcccfc488824400866294d627fa0ff7849	95e60a8ea4d8eac6b73ee40b0a8db0bcccfc488824400866294d627fa0ff7849	0x0000000000000000000300000011a7f4	false	true
after	RecoverySprint/continuation_20260811/blackwell_v19_native_exact_type_and_camera_schema_static_preparation/attempt_01/AUTHOR_PACKAGE.json	5009	5009	4d72f842056f06e3ab177bf7b44b22e3d5d3f18ff66e712e4a879ed2cbf46162	4d72f842056f06e3ab177bf7b44b22e3d5d3f18ff66e712e4a879ed2cbf46162	0x0000000000000000000300000011a7f5	false	true
after	RecoverySprint/continuation_20260811/blackwell_v19_native_exact_type_and_camera_schema_static_preparation/attempt_01/BUILD_AND_STATIC_TEST_RESULTS.txt	5385	5385	eab6ab6cb2167a51d9cdc75d4568264be8ece541e1182677d2c8c690082ae77e	eab6ab6cb2167a51d9cdc75d4568264be8ece541e1182677d2c8c690082ae77e	0x0000000000000000000300000011a7f6	false	true
after	RecoverySprint/continuation_20260811/blackwell_v19_native_exact_type_and_camera_schema_static_preparation/attempt_01/STATIC_SEAL_MANIFEST.json	23616	23616	1247fce7561f9d47ab0f013b6b98ef0a12ff33eb627bd874c28caa9c94d66713	1247fce7561f9d47ab0f013b6b98ef0a12ff33eb627bd874c28caa9c94d66713	0x0000000000000000000300000011a7f7	false	true
after	RecoverySprint/continuation_20260811/blackwell_v19_native_exact_type_and_camera_schema_static_preparation/attempt_01/CHECKPOINT.md	3681	3681	ef5f9d847d3946d15d42c84f0f6b4190157d0e67861baeb0ed18df75ecfff225	ef5f9d847d3946d15d42c84f0f6b4190157d0e67861baeb0ed18df75ecfff225	0x0000000000000000000300000011a7f8	false	true
