path	bytes	sha256_before	sha256_after	sealed_subject
AUTHOR_STATIC_TEST_RESULT.json	3756	168a2cb6514dd08037ebb3dc8aef58d82ccb04c26c4c7833961fd2c0cde57928	168a2cb6514dd08037ebb3dc8aef58d82ccb04c26c4c7833961fd2c0cde57928	false
CHECKPOINT.md	4165	ce920ed30572708d03c0b0bcf2c79cd372ea4e1f3718d2bd9dfa1ccaeacc5ace	ce920ed30572708d03c0b0bcf2c79cd372ea4e1f3718d2bd9dfa1ccaeacc5ace	false
INPUT_CLOSURE.tsv	8587	91a268b31d818271c9bc96f3fcb35b3e0aa8ebc80e22b6a4b3959e1a50a9b4ed	91a268b31d818271c9bc96f3fcb35b3e0aa8ebc80e22b6a4b3959e1a50a9b4ed	true
MATCHED_EXPERIMENT_SCHEMA.json	9080	4431b1ccd3beab2bdba05c258d2957a1af9415daf0503516c1518ac20adfd184	4431b1ccd3beab2bdba05c258d2957a1af9415daf0503516c1518ac20adfd184	true
NATIVE_BUILD_STATIC_RESULT.json	1564	54213d112cd96b2c1d1821f19e88eea8a57cbca58c552e5138427d3658d04fa2	54213d112cd96b2c1d1821f19e88eea8a57cbca58c552e5138427d3658d04fa2	true
README.md	4847	6589e4700c96545516ed9d9b084866ec6a3c368742a71be8d68e87ca073b19b7	6589e4700c96545516ed9d9b084866ec6a3c368742a71be8d68e87ca073b19b7	true
STATIC_CONTRACT.json	9697	e6c69a7b25ab76303e384b7fb7e268ca0c4f05b652c9d875ebaf307ec1e6cb31	e6c69a7b25ab76303e384b7fb7e268ca0c4f05b652c9d875ebaf307ec1e6cb31	true
STATIC_SEAL_MANIFEST.json	2882	70e7e36823d0e7985db66376cac4c194846292393bdb94bf6ee5ed523848a77b	70e7e36823d0e7985db66376cac4c194846292393bdb94bf6ee5ed523848a77b	false
test_voice_v20_contract.py	12448	fe65d9da29ccf5b63c24040eda2bf0bcd06902920ec8bca0a2be130cdd3f30b1	fe65d9da29ccf5b63c24040eda2bf0bcd06902920ec8bca0a2be130cdd3f30b1	true
test_voice_v20_worker_hostile.py	19243	242f2731f00b60ccbcdfffe63bcdf4c305879a91df0ff293a5849d6926313e69	242f2731f00b60ccbcdfffe63bcdf4c305879a91df0ff293a5849d6926313e69	true
voice_v20_native_supervisor.c	22872	65529f48fbb5d7a79975dfb326aed35fa04be812909f7bff58ed0175df9ca781	65529f48fbb5d7a79975dfb326aed35fa04be812909f7bff58ed0175df9ca781	true
voice_v20_worker.py	79030	1be570f8bd98fd561dce68c5b11f1b4c53dc43a7562f75e162f549b9559189b1	1be570f8bd98fd561dce68c5b11f1b4c53dc43a7562f75e162f549b9559189b1	true
