role	path	bytes	sha256	status
current_production	Core/voice_output.py	161766	ec98bcb2a7a364b143293605ebf4a9d58ea7aecd851c62d3497cfe37245aad81	current_exact_voice_dispatch
current_production	Core/persistent_blackwell_voice_integration_v2.py	89022	c3d1bad34ccb327e1bef23ad166dd52c9d52abe60bc7be0a402e4e8a636cb675	current_exact_persistent_v2_integration
current_production	tools/kira_world_shell_server.py	607951	2ea2e54391877d06d540d59c59714de9e435c38f5dd45edccc1a0f349a859876	current_exact_shell
current_production	Core/conversation_loop.py	355602	b460e2c99f48135812e506363938c68e15fb51325d89e60373ef9fb9079a681c	current_exact_qwen_serialization
current_production	Voice/sidecars/chatterbox_blackwell_persistent_candidate_v2/candidate_config.json	6594	805c1d2836c618970a81f5f44d31f81f67e204173bd919857452daa8dbedc8bb	current_exact_v2_config
current_production	Voice/sidecars/chatterbox_blackwell_persistent_candidate_v2/candidate_client.py	25061	9f33ef0d9fd969da05ce48eb148163efc77306bfd3bc215efcb482e68e7261a8	current_exact_v2_client
current_production	Voice/sidecars/chatterbox_blackwell_persistent_candidate_v2/candidate_contract.py	26760	863c6ece050b12af157565c60df6fd82b207dae5476e693cc08e34b392c8f910	current_exact_v2_contract
current_production	Voice/sidecars/chatterbox_blackwell_persistent_candidate_v2/persistent_worker.py	62573	b6f2dcc816537552db02d00c5a1932057f2d99b5d206a578344d4a92523b3cad	current_exact_v2_worker
current_runtime	Voice/sidecars/chatterbox_blackwell_gpu/.venv/Scripts/python.exe	274712	21bb438c0d4a6f1f164b9a646f6ee000340185e5871180aec06db8d3f07c0082	exact_blackwell_python
current_runtime	Voice/sidecars/chatterbox_blackwell_gpu/evidence/dependency_manifest.json	74549	7266ab156aa2764e9145d3122a5bad3ae18c6392867c44d0dd2e19dfad4c5665	exact_dependency_manifest
current_runtime	Voice/sidecars/chatterbox_blackwell_gpu/evidence/torch_gpu_readiness_postdeps.json	2822	5d74d70ae2c486d432e7a56a2710ef377c0c6c15ca8bb605e6c2d6b0688b0117	exact_gpu_readiness_history_not_current_capacity
current_identity	Voice/profiles/temp_ai/kira_voice_profile.json	4668	102d17f5420a1a16b3a920204ebde0d532c0a9bfd2979dca28048378ecddc116	exact_kira_voice_profile
current_identity	Voice/reference_packs/kira/kira_online_source_20260706_221447/model_input/approved_reference.wav	9856844	2039a2abd600a63c294d69c2b2e4d450c64c850dc6d1c9a4fbfa1700ba92069c	exact_kira_approved_reference
current_production	Voice/sidecars/kira_approved_voice_routing.json	2765	a343572b25937926ea0181274976b53f57ca219ce1e4d3e1780343994aea7b81	exact_production_route
accepted_static_predecessor	Voice/sidecars/chatterbox_blackwell_persistent_candidate_v7/candidate_config.json	11165	35b7307901eceffe45466eb996950976e607bb3c8a25f830ffe9f78161da3182	accepted_static_cpu_park_config
accepted_static_predecessor	Voice/sidecars/chatterbox_blackwell_persistent_candidate_v7/persistent_worker.py	70113	c2670e5f3b30dda4b5370b31631850391664b06b981c67aa6070dc716d609a72	accepted_static_cpu_park_engine
accepted_static_predecessor	Core/blackwell_v7_process_boundary.py	49460	edd8033bf5539255c1007241877722bd0a15754852dd6b24c571bc679bc78d41	accepted_static_job_and_ipc_boundary
accepted_static_predecessor	RecoverySprint/continuation_20260810/BLACKWELL_V7_CPU_PARK_STATIC_REPAIR_CHECKPOINT.md	8008	df3a5c6a62043fbcc4b890abbbd5d3a406bf66839f29b6edd116830864ddab33	v7_author_checkpoint
accepted_static_predecessor	RecoverySprint/continuation_20260810/blackwell_v7_cpu_park_fresh_static_audit/attempt_01/CHECKPOINT.md	8788	54ee6b70a58ac5a70f5de0e7713538a54cdb47fd1949f1624c5fabdb68474310	v7_accept_static_only
accepted_static_predecessor	Voice/sidecars/chatterbox_blackwell_persistent_candidate_v8/candidate_config.json	9079	9b221b9eb4c6ada505c8e912ba5554b8831ee7484a69ac7289cbeb430f338587	accepted_static_v8_config
accepted_static_predecessor	Voice/sidecars/chatterbox_blackwell_persistent_candidate_v8/STATIC_SEAL_MANIFEST.json	2082	831e02d7a511ecdb86d450727a4d90b298af2da3372df628bd040a00d8cb5de8	accepted_static_v8_seal
accepted_static_predecessor	Voice/sidecars/chatterbox_blackwell_persistent_candidate_v8/persistent_worker.py	33199	215d63d6c201e10b169724219eb7e3efe5b1a2a3f34cea83e2a8136dc897955e	accepted_static_v8_worker_extension
accepted_static_predecessor	Voice/sidecars/chatterbox_blackwell_persistent_candidate_v8/live_adapter.py	36244	7565203c1d548f576d2264f7c0ee84b16a35dcf5e57ec9f56909ae1278b022eb	accepted_static_v8_live_adapter_not_reused_directly
accepted_static_predecessor	Core/persistent_blackwell_voice_integration_v8.py	13691	7ac85d0e7c4375c5c96e31d9414794275dcceba632392605c99caed38281860f	accepted_static_v8_parent
