source_index	source_bone_id	mapped_anatomical_name	parent_evidence	head_tail_evidence	symmetry_evidence	weight_evidence	rest_pose_evidence	status
1	n28	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
2	n30	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
3	n34	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
4	n35	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
5	n36	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
6	n41	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
7	n43	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
8	n44	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
9	n45	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
10	n46	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
11	n47	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
12	n48	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
13	n49	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
14	n50	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
15	n51	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
16	n52	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
17	n53	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
18	n54	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
19	n55	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
20	n56	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
21	n57	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
22	n58	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
23	n59	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
24	n60	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
25	n61	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
26	n62	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
27	n63	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
28	n64	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
