role	path	bytes	sha256	status
current_owner_policy	Data/governance/temporary_creator_avatar_voice_shared_person_spec_future_policy_v1.json	7576	520c994fc256afb60a62a568a04826d4579abe96d6ac0b4c495c9179224034c9	CURRENT_DESIGN_INPUT
current_owner_doc	System/Docs/TEMPORARY_CREATOR_AVATAR_VOICE_SHARED_PERSON_SPEC_AND_CORRECTION_BOUNDARY_20260812.md	7051	4bbd0699c12f5d118f859ba8fc07a073b163c603d9d1541ff0ad353e9ecf173e	CURRENT_DESIGN_INPUT
avatar_maturity_reference	Core/avatar_asset_library.py	103744	793cbbf13ee233407d1d9e489d9d613f862b9eb903ed4ac6939f7c4f8a651d58	REFERENCE_NOT_MODIFIED
avatar_pipeline_reference	Core/temp_ai_avatar_pipeline.py	18280	85613a61d41956e0239172c989972e709bf10091586f17e426b0d910190fccd2	REFERENCE_NOT_MODIFIED
source_grounding_reference	Core/temp_ai_source_grounding.py	12180	8905757f365d9f18e9bea09cd89aa05f3810acc6560b54fd2d8ff7fafc88099d	REFERENCE_NOT_MODIFIED
creator_v4_rejected_static_reference	Core/temporary_ai_creator_quality_v4.py	35715	c01672a88ff114c7a4b44a181770dfb5ff1ff4a2c1cf9b14e7ed6cce06077250	NOT_ACCEPTED_NOT_LIVE
creator_v3_rejected_static_reference	Core/temporary_ai_creator_quality_v3.py	63649	bd915c1a0d77268337ef3b22b68273a8c900629a910e9adc0d4087d63f37fd50	NOT_ACCEPTED_NOT_LIVE
temporary_request_reference	Core/temporary_person_request.py	5350	12790ff8b549392f9c1b3da06b062aeb9d58c608e348ec1a377ee7659ad084e0	REFERENCE_NOT_MODIFIED
person_inventory_reference	Data/foundation/shared_person_growth_v3_integration_candidate_v1.json	28107	5b4397d33318dac34fa9f876ed42ec9720ebefb1acdddb235842982479885254	REFERENCE_SNAPSHOT_ONLY
holmes_profile_reference	TemporaryAI/candidates/h_h_holmes_h_h_holmes_20260605_221432/temporary_ai_profile.json	5581	c7db16d23b5f4534cb6628bac017742e901aa538a05080b6267b2f85ba26e008	DRAFT_PENDING_REVIEW
holmes_voice_request_reference	TemporaryAI/candidates/h_h_holmes_h_h_holmes_20260605_221432/voice_discovery_request.json	4306	220c539381ac5b742a474bd7f16734fa246c0482354ab7c34af37f70e63adcfa	METADATA_ONLY_NOT_VOICE
holmes_voice_index_reference	TemporaryAI/candidates/h_h_holmes_h_h_holmes_20260605_221432/voice_discovery_index.json	94412	a971b6f42f3a332a0c555e60098807d294acecb15c27dedc9d5b05030e939646	METADATA_ONLY_NOT_VOICE
