category	source	copy	bytes	source_sha256	copy_sha256	match
authority_snapshot	Data/codex_reports/20260722_kira_r7_adult_surface_r4_v10.md	preserved/candidate_status_evidence/authority_snapshots/20260722_kira_r7_adult_surface_r4_v10.md	4277	4a1b5cc98953964b6b23d21497ca2cf968e619eec853b5818b6fc6956c7d3054	4a1b5cc98953964b6b23d21497ca2cf968e619eec853b5818b6fc6956c7d3054	true
authority_snapshot	Data/codex_reports/20260723_kira_current_workstreams_safe_checkpoint.md	preserved/candidate_status_evidence/authority_snapshots/20260723_kira_current_workstreams_safe_checkpoint.md	8620	d4be4779c1b6a255d75588fa391a99a83c68a12ace9ee7f1b6f2e47ad9e8f721	d4be4779c1b6a255d75588fa391a99a83c68a12ace9ee7f1b6f2e47ad9e8f721	true
authority_snapshot	Data/codex_reports/20260723_kira_current_workstreams_fresh_validation.md	preserved/candidate_status_evidence/authority_snapshots/20260723_kira_current_workstreams_fresh_validation.md	16456	fcd7ba04bbc85a290ee7f2964197383cc2855ab11ea7a5cdb07d643c825bbe3a	fcd7ba04bbc85a290ee7f2964197383cc2855ab11ea7a5cdb07d643c825bbe3a	true
candidate_status	Data/avatar_builder_workspace_tests/kira_r7_adult_surface_trial_20260722/reconstructed_neck_surface_r4_v8/evidence.json	preserved/candidate_status_evidence/r4_v8/evidence.json	14754	d9b0422afebc9c8597f9b2b77a9119700fab1cea16bcd9fc7bc685d6dc23478c	d9b0422afebc9c8597f9b2b77a9119700fab1cea16bcd9fc7bc685d6dc23478c	true
candidate_status	Data/avatar_builder_workspace_tests/kira_r7_adult_surface_trial_20260722/reconstructed_neck_surface_r4_v9/evidence.json	preserved/candidate_status_evidence/r4_v9/evidence.json	24764	596126785934e0beaa03d6184acbd72c27e28f2dc299df5269c4fd101f1e6e8b	596126785934e0beaa03d6184acbd72c27e28f2dc299df5269c4fd101f1e6e8b	true
candidate_status	Data/avatar_builder_workspace_tests/kira_r7_adult_surface_trial_20260722/reconstructed_neck_surface_r4_v9/manifest.json	preserved/candidate_status_evidence/r4_v9/manifest.json	6322	dc59453fcdc711fc54668134a3995efe17aeb9c53fb699433b64ffc580e33111	dc59453fcdc711fc54668134a3995efe17aeb9c53fb699433b64ffc580e33111	true
eye_v3_3_browser	Data/world_tests/kira_socket_eye_v3_3_20260722/browser/center.png	preserved/eye_v3_3_browser_evidence/center.png	400566	c438a4abb5a4f8f3e6c3e3a34a1d5171f23b7f0ae61fe3359058acf134fb26a8	c438a4abb5a4f8f3e6c3e3a34a1d5171f23b7f0ae61fe3359058acf134fb26a8	true
eye_v3_3_browser	Data/world_tests/kira_socket_eye_v3_3_20260722/browser/evidence.json	preserved/eye_v3_3_browser_evidence/evidence.json	66041	d7604ea60e57f77524e717919af0fa6afc1675a9089a192cf93c91d9e5faa53d	d7604ea60e57f77524e717919af0fa6afc1675a9089a192cf93c91d9e5faa53d	true
eye_v3_3_browser	Data/world_tests/kira_socket_eye_v3_3_20260722/browser/look_down.png	preserved/eye_v3_3_browser_evidence/look_down.png	402380	926ec03e8605d5e2db7e3af4f1aa87e341863faa473582666b318f9bcfb27eda	926ec03e8605d5e2db7e3af4f1aa87e341863faa473582666b318f9bcfb27eda	true
eye_v3_3_browser	Data/world_tests/kira_socket_eye_v3_3_20260722/browser/look_left.png	preserved/eye_v3_3_browser_evidence/look_left.png	402938	a5b3db1437491221cc80aa14af0d8f5365508041d05d9df4acdc8f73a768fdca	a5b3db1437491221cc80aa14af0d8f5365508041d05d9df4acdc8f73a768fdca	true
eye_v3_3_browser	Data/world_tests/kira_socket_eye_v3_3_20260722/browser/look_right.png	preserved/eye_v3_3_browser_evidence/look_right.png	401714	d3d45e7899a7c6aa374bf8f6eafe50dc3b7559f0f44d24a8baeb92b51f1f2b74	d3d45e7899a7c6aa374bf8f6eafe50dc3b7559f0f44d24a8baeb92b51f1f2b74	true
eye_v3_3_browser	Data/world_tests/kira_socket_eye_v3_3_20260722/browser/look_up.png	preserved/eye_v3_3_browser_evidence/look_up.png	401238	d8d11576701e0e11d021d6650f75a49a713b857393cb281bc83a48ab12e8e1a6	d8d11576701e0e11d021d6650f75a49a713b857393cb281bc83a48ab12e8e1a6	true
eye_v3_3_fresh_validation	Data/world_tests/kira_socket_eye_v3_3_20260722/fresh_validation_ephemeral_20260723_0554/center.png	preserved/eye_v3_3_fresh_validation_ephemeral_20260723_0554/center.png	416135	fbe62d3550e7bb8ae939f82030955944360ef8a0394e50fd5d6f6e78d623f378	fbe62d3550e7bb8ae939f82030955944360ef8a0394e50fd5d6f6e78d623f378	true
eye_v3_3_fresh_validation	Data/world_tests/kira_socket_eye_v3_3_20260722/fresh_validation_ephemeral_20260723_0554/evidence.json	preserved/eye_v3_3_fresh_validation_ephemeral_20260723_0554/evidence.json	66218	4144e71106b7924bf820a60f7c55b15f02dcb0cf80789684872356ac2e503f83	4144e71106b7924bf820a60f7c55b15f02dcb0cf80789684872356ac2e503f83	true
eye_v3_3_fresh_validation	Data/world_tests/kira_socket_eye_v3_3_20260722/fresh_validation_ephemeral_20260723_0554/look_down.png	preserved/eye_v3_3_fresh_validation_ephemeral_20260723_0554/look_down.png	417491	190733b204d8effa4eb5bb5c544a7d663592956808abe1c2ead6340d2d7b32cd	190733b204d8effa4eb5bb5c544a7d663592956808abe1c2ead6340d2d7b32cd	true
eye_v3_3_fresh_validation	Data/world_tests/kira_socket_eye_v3_3_20260722/fresh_validation_ephemeral_20260723_0554/look_left.png	preserved/eye_v3_3_fresh_validation_ephemeral_20260723_0554/look_left.png	418095	d59b02432092bfa143548a5f9958989e1d8da232a5009b8f5560c89cafae4fb4	d59b02432092bfa143548a5f9958989e1d8da232a5009b8f5560c89cafae4fb4	true
eye_v3_3_fresh_validation	Data/world_tests/kira_socket_eye_v3_3_20260722/fresh_validation_ephemeral_20260723_0554/look_right.png	preserved/eye_v3_3_fresh_validation_ephemeral_20260723_0554/look_right.png	417020	688a9dfbf8cb93b9a47e1c0018ad5496e48d82291a57dcc412f431ede8ac2341	688a9dfbf8cb93b9a47e1c0018ad5496e48d82291a57dcc412f431ede8ac2341	true
eye_v3_3_fresh_validation	Data/world_tests/kira_socket_eye_v3_3_20260722/fresh_validation_ephemeral_20260723_0554/look_up.png	preserved/eye_v3_3_fresh_validation_ephemeral_20260723_0554/look_up.png	416413	74e2ced82e9dde9a09ea7c90818c25079b4463aaee7c379391e9c8ea598f9dc6	74e2ced82e9dde9a09ea7c90818c25079b4463aaee7c379391e9c8ea598f9dc6	true
r4_v10	Data/avatar_builder_workspace_tests/kira_r7_adult_surface_trial_20260722/reconstructed_neck_surface_r4_v10/blender_author.log	preserved/r4_v10_candidate/blender_author.log	3087	96efee417e75267de6a976ab334130d0b72194c0c7fc4bd7cb82ca4b4b917b88	96efee417e75267de6a976ab334130d0b72194c0c7fc4bd7cb82ca4b4b917b88	true
r4_v10	Data/avatar_builder_workspace_tests/kira_r7_adult_surface_trial_20260722/reconstructed_neck_surface_r4_v10/blender_reopen.log	preserved/r4_v10_candidate/blender_reopen.log	497	9107010300ec65d96aafbba72993a95236f9e6a717d41b7e2cad1386459eb5b5	9107010300ec65d96aafbba72993a95236f9e6a717d41b7e2cad1386459eb5b5	true
r4_v10	Data/avatar_builder_workspace_tests/kira_r7_adult_surface_trial_20260722/reconstructed_neck_surface_r4_v10/config.json	preserved/r4_v10_candidate/config.json	1696	8f1a6165a82cc81091dee0fad7d0c6b5dbd9114a7d0d647e94101cee27ba0763	8f1a6165a82cc81091dee0fad7d0c6b5dbd9114a7d0d647e94101cee27ba0763	true
r4_v10	Data/avatar_builder_workspace_tests/kira_r7_adult_surface_trial_20260722/reconstructed_neck_surface_r4_v10/evidence.json	preserved/r4_v10_candidate/evidence.json	22266	04580989c19952916d2dc0965c49c816df5d06b7db5c1634b514f759654d5307	04580989c19952916d2dc0965c49c816df5d06b7db5c1634b514f759654d5307	true
r4_v10	Data/avatar_builder_workspace_tests/kira_r7_adult_surface_trial_20260722/reconstructed_neck_surface_r4_v10/identity_front.png	preserved/r4_v10_candidate/identity_front.png	1110907	5019986a71914a640a8452c8f7a38f7106ee3bd5c304181b182538456afd84e5	5019986a71914a640a8452c8f7a38f7106ee3bd5c304181b182538456afd84e5	true
r4_v10	Data/avatar_builder_workspace_tests/kira_r7_adult_surface_trial_20260722/reconstructed_neck_surface_r4_v10/identity_left_profile.png	preserved/r4_v10_candidate/identity_left_profile.png	1128166	c67febe22a920b072822dcc1bf98da3b3a9cd15a382bdc2a0491bc1d96a5e788	c67febe22a920b072822dcc1bf98da3b3a9cd15a382bdc2a0491bc1d96a5e788	true
r4_v10	Data/avatar_builder_workspace_tests/kira_r7_adult_surface_trial_20260722/reconstructed_neck_surface_r4_v10/inactive_reconstructed_neck_surface_r4_v10.blend	preserved/r4_v10_candidate/inactive_reconstructed_neck_surface_r4_v10.blend	135349726	41ce3556beefaba1e8e48224b3af704832d2f5919fefe3eb171ee08714161822	41ce3556beefaba1e8e48224b3af704832d2f5919fefe3eb171ee08714161822	true
r4_v10	Data/avatar_builder_workspace_tests/kira_r7_adult_surface_trial_20260722/reconstructed_neck_surface_r4_v10/manifest.json	preserved/r4_v10_candidate/manifest.json	6352	a1db9d5f101d0995937418c8918e52752d7c94dac6b1fce1ce55b5debc66716b	a1db9d5f101d0995937418c8918e52752d7c94dac6b1fce1ce55b5debc66716b	true
